icao24,registration,model,operatorIcao
06a016,A7-ADA,A320-232,QTR
06a017,A7-ADB,A320 232,QTR
06a018,A7-ACA,Airbus A330 202,QTR
06a019,A7-ACB,Airbus A330 202,QTR
06a01b,A7-ADC,Airbus A320 232,QTR
06a01e,A7-ACC,A330-202,QTR
06a01f,A7-ACD,Airbus A330 202,QTR
06a022,A7-ADD,Airbus A320 232,QTR
06a023,A7-ADE,Airbus A320 232,QTR
06a024,A7-ACH,Airbus A330 202,QTR
06a026,A7-CJA,A319 133LR,QTR
06a027,A7-ADF,A320-232,QTR
06a028,A7-ADG,A320-232,QTR
06a029,A7-ADH,Airbus A320 232,QTR
06a02b,A7-ADS,A321 231,QTR
06a02c,A7-ACE,Airbus A330 202,QTR
06a02d,A7-ADI,Airbus A320 232,QTR
06a02e,A7-ADJ,Airbus A320 232,QTR
06a02f,A7-ADT,A321-231,QTR
06a030,A7-ACF,Airbus A330 202,QTR
06a031,A7-AEA,A330 302,QTR
06a032,A7-AEB,A330 302,QTR
06a035,A7-AFL,Airbus A330 202,QTR
06a036,A7-AFM,Airbus A330 202,QTR
06a039,A7-CJB,A319 133LR,QTR
06a03c,A7-AEC,A330 302,QTR
06a03d,A7-AED,A330 302,QTR
06a03e,A7-AEE,A330 302,QTR
06a040,A7-AEF,A330 302,QTR
06a041,A7-AEG,A330 302,QTR
06a042,A7-AEH,A330-302,QTR
06a043,A7-AGA,A340 642,QTR
06a044,A7-AGB,A340 642,QTR
06a045,A7-AGC,A340-642,QTR
06a046,A7-ACG,A330-202,QTR
06a047,A7-ACI,A330 202,QTR
06a048,A7-ACJ,Airbus A330 202,QTR
06a049,A7-ACK,A330 202,QTR
06a04a,A7-AEI,A330 302,QTR
06a04b,A7-ACL,A330-202,QTR
06a04c,A7-AEJ,A330 302,QTR
06a04d,A7-AGD,A340 642,QTR
06a04e,A7-ACM,A330 202,QTR
06a050,A7-ADV,A321 231,QTR
06a052,A7-BAA,777 3DZER,QTR
06a053,A7-BAB,777 3DZER,QTR
06a05c,A7-ADK,A321 231,QTR
06a05d,A7-AEM,A330-302,QTR
06a060,A7-AEN,A330 302,QTR
06a061,A7-AEO,A330 302,QTR
06a062,A7-BAC,777-3DZ(ER),QTR
06a063,A7-BAI,777 3DZER,QTR
06a064,A7-BAO,777 3DZER,QTR
06a066,A7-BBA,777 2DZLR,QTR
06a068,A7-BBB,777 2DZLR,QTR
06a069,A7-BAE,777 3DZER,QTR
06a070,A7-BAF,777 3DZER,QTR
06a071,A7-BAG,777-3DZ(ER),QTR
06a072,A7-BAH,777 3DZER,QTR
06a073,A7-BBC,777 2DZLR,QTR
06a074,A7-BBD,777 2DZLR,QTR
06a075,A7-BBE,777 2DZLR,QTR
06a076,A7-BBF,Boeing 777 2DZLR,QTR
06a077,A7-BAJ,777 3DZER,QTR
06a078,A7-BAK,Boeing 777 3DZER,QTR
06a079,A7-BAL,777 3DZER,QTR
06a07a,A7-BAM,777-3DZ(ER),QTR
06a07b,A7-BAN,777 3DZER,QTR
06a07c,A7-BAP,777 3DZER,QTR
06a07d,A7-BBG,777 2DZLR,QTR
06a07e,A7-BBH,777 2DZLR,QTR
06a07f,A7-BFA,Boeing 777-FDZ,QTR
06a080,A7-BFB,777 FDZ,QTR
06a081,A7-BFC,Boeing 777-FDZ,QTR
06a083,A7-BAQ,777 3DZER,QTR
06a087,A7-AHA,A320 232,QTR
06a088,A7-AHB,A320 232,QTR
06a089,A7-AHC,A320 232,QTR
06a08a,A7-AIA,A321 231,QTR
06a08b,A7-AIB,A321 231,QTR
06a08c,A7-AIC,A321 231,QTR
06a08d,A7-AHD,A320 232,QTR
06a08e,A7-AHE,A320 232,QTR
06a08f,A7-AHF,Airbus A320 232,QTR
06a090,A7-AID,A321 231,QTR
06a091,A7-AHG,A320 232,QTR
06a092,A7-AHH,A320 232,QTR
06a093,A7-AHI,A320 232,QTR
06a094,A7-AHJ,A320 232,QTR
06a095,A7-AHL,A320 232,QTR
06a096,A7-AHO,A320 232,QTR
06a097,A7-AHP,A320 232SL,QTR
06a098,A7-AHQ,A320 232SL,QTR
06a099,A7-AHR,A320 232SL,QTR
06a09a,A7-AHS,A320 232,QTR
06a09b,A7-AHT,A320 232,QTR
06a09c,A7-AHU,A320 232,QTR
06a09e,A7-AHW,Airbus A320 232SL,QTR
06a0a5,A7-BCA,787 8,QTR
06a0a6,A7-BCB,787 8,QTR
06a0a7,A7-BCC,787 8,QTR
06a0a8,A7-BCD,787 8,QTR
06a0a9,A7-BCE,787 8,QTR
06a0aa,A7-BCF,787 8,QTR
06a0ab,A7-BCG,787 8,QTR
06a0ac,A7-BCH,787 8,QTR
06a0ad,A7-BCI,787 8,QTR
06a0ae,A7-BCJ,Boeing 787 8,QTR
06a0af,A7-BCK,787 8,QTR
06a0b0,A7-BCL,787 8,QTR
06a0b1,A7-BCM,Boeing 787 8,QTR
06a0b2,A7-BCN,787 8,QTR
06a0b3,A7-BCO,787 8,QTR
06a0b4,A7-BCP,787 8,QTR
06a0b5,A7-BCQ,787 8,QTR
06a0b6,A7-BCR,787 8,QTR
06a0b7,A7-BCS,787 8,QTR
06a0b8,A7-BCT,787 8,QTR
06a0b9,A7-BCU,787 8,QTR
06a0ba,A7-BCV,787 8,QTR
06a0bb,A7-BCW,787-8,QTR
06a0bc,A7-BCX,787 8,QTR
06a0bd,A7-BCY,787 8,QTR
06a0be,A7-BCZ,787 8,QTR
06a0bf,A7-BDA,787 8,QTR
06a0c0,A7-BDB,787 8,QTR
06a0c1,A7-BDC,787 8,QTR
06a0c2,A7-BDD,787 8,QTR
06a0db,A7-BBI,777 2DZLR,QTR
06a0dc,A7-BAS,777 3DZER,QTR
06a0dd,A7-BFD,777-FDZ,QTR
06a0de,A7-BFE,777 FDZ,QTR
06a0df,A7-BFF,777 FDZ,QTR
06a0e0,A7-AMA,A350 941,QTR
06a0e1,A7-AMB,Airbus A350 941,QTR
06a0e2,A7-AMC,Airbus A350 941,QTR
06a0e3,A7-AMD,A350 941,QTR
06a0e4,A7-AME,A350-941,QTR
06a0e5,A7-AMF,A350-900,QTR
06a0e6,A7-AMG,A350-941,QTR
06a0e8,A7-AMI,A350-941,QTR
06a0e9,A7-AMJ,A350-941,QTR
06a0ea,A7-AMK,A350-941,QTR
06a0eb,A7-AML,Airbus A350-941,QTR
06a0f4,A7-ANT,Airbus A350-1041,QTR
06a0f5,A7-ALA,Airbus A350-941,QTR
06a0f6,A7-ALB,A350 941,QTR
06a0f7,A7-ALC,Airbus A350-941,QTR
06a0f8,A7-ALD,A350 941,QTR
06a0f9,A7-ALE,A350 941,QTR
06a0fa,A7-ALF,A350 941,QTR
06a0fb,A7-ALG,A350 941,QTR
06a0fc,A7-ALH,A350 941,QTR
06a0fd,A7-ALI,A350 941,QTR
06a0fe,A7-ALJ,A350 941,QTR
06a0ff,A7-ALK,A350 941,QTR
06a100,A7-ALL,A350 941,QTR
06a101,A7-ALM,A350 941,QTR
06a102,A7-ALN,A350 941,QTR
06a103,A7-ALO,A350 941,QTR
06a104,A7-ALP,A350 941,QTR
06a105,A7-ALQ,Airbus A350 941,QTR
06a106,A7-ALR,A350-941,QTR
06a107,A7-ALS,Airbus A350 941,QTR
06a108,A7-ALT,A350 941,QTR
06a109,A7-ALU,A350 941,QTR
06a10a,A7-ALV,A350 941,QTR
06a10b,A7-ALW,Airbus A350-941,QTR
06a10c,A7-ALX,A350-941,QTR
06a10d,A7-ALY,A350-941,QTR
06a10e,A7-ALZ,A350-941,QTR
06a10f,A7-AOA,A350-1041,QTR
06a110,A7-AOB,Airbus A350-1041,QTR
06a111,A7-AOC,Airbus A350-1041,QTR
06a112,A7-AOD,Airbus A350-1041,QTR
06a11d,A7-ANA,A350 1041,QTR
06a11e,A7-ANB,A350 1041,QTR
06a11f,A7-ANC,A350-1041,QTR
06a120,A7-AND,A350-1041,QTR
06a121,A7-ANE,A350-1041,QTR
06a122,A7-ANF,A350-1041,QTR
06a123,A7-ANG,A350-1041,QTR
06a124,A7-ANH,A350-1041,QTR
06a125,A7-ANI,A350-1041,QTR
06a126,A7-ANJ,A350-1041,QTR
06a127,A7-ANK,A350-1041,QTR
06a128,A7-ANL,A350-1000,QTR
06a129,A7-ANM,A350-1041,QTR
06a12a,A7-ANN,A350-1041,QTR
06a12b,A7-ANO,A350-1041,QTR
06a12c,A7-ANP,A350-1041,QTR
06a12d,A7-ANQ,A350-1000,QTR
06a12e,A7-ANR,A350-1041,QTR
06a12f,A7-ANS,A350-1041,QTR
06a136,A7-BAT,777 3DZER,QTR
06a137,A7-BAU,777 3DZER,QTR
06a138,A7-BAV,777 3DZER,QTR
06a139,A7-BAW,777 3DZER,QTR
06a13a,A7-BAX,777 3DZER,QTR
06a13b,A7-BAY,777 3DZER,QTR
06a13c,A7-BAZ,Boeing 777 3DZER,QTR
06a13d,A7-BEA,777 3DZER,QTR
06a140,A7-BFG,Boeing 777-FDZ,QTR
06a141,A7-BFH,Boeing 777-FDZ,QTR
06a142,A7-APA,A380 861,QTR
06a143,A7-APB,A380 861,QTR
06a144,A7-APC,A380 861,QTR
06a145,A7-APD,A380 861,QTR
06a146,A7-APE,A380 861,QTR
06a147,A7-APF,A380 861,QTR
06a148,A7-APG,A380 861,QTR
06a149,A7-APH,A380 861,QTR
